"fullname","id","likes","replies","retweets","text","timestamp","user"
"Mary Lou  Miller","824328306514333697","0","0","0","#bellletstalk #mentalhealth #mentalillness @bell_letstalk  hypetoronto torontocityblog… https://www.instagram.com/p/BPsq-dQDPaY/ ","2017-01-25T18:49:18","MillerVision888"
"Retrofit Pilates","824328621661757441","1","0","1","Find wellness in your mind and your body #bellletstalk #retrofit #retrofitpilates #mindfulness… https://www.instagram.com/p/BPsrHnbgqHs/ ","2017-01-25T18:50:33","RetrofitPilates"
"Jennifer Fallis","824328908640227329","1","1","0","#BlueJays. Not too optimistic about this year's Jays! We'll see. #BellLetsTalk","2017-01-25T18:51:41","JenFallis"
"The Peer Project","824330185180749824","0","0","0","Suhaila, Program Manager @ The Peer Project #BellLetsTalk @ The Peer Project - Youth Assisting… https://www.instagram.com/p/BPsr1FMh1As/ ","2017-01-25T18:56:46","PeerProject"
"Slaydrienne","824333152114135040","1","0","0","Hey, it's #BellLetsTalk Day. If u've been waiting for a sign that u should talk to someone about ur mental health, this is it #EndTheStigma","2017-01-25T19:08:33","AdrienneWishart"
"Kristin Booth","824333914667962368","25","2","17","#bellletstalk If you are suffering from mental illness, you are not alone. You would be shocked… https://www.instagram.com/p/BPsthoUDPRU/ ","2017-01-25T19:11:35","kristintbooth"
"Ronald S. MacPherson","824334491615457280","1","0","0","#libraryselfie #bellletstalk @ Toronto Western Hospital https://www.instagram.com/p/BPstyONFPEk/ ","2017-01-25T19:13:52","RSMacPherson"
"Neil Salinas","824336862894452737","1","0","2","Because I needed an afternoon post. Super Heroes & Villains listen too  . . #BellLetsTalk… https://www.instagram.com/p/BPsu3edhkse/ ","2017-01-25T19:23:18","NeilBe4Zod"
"Toronto Game Devs","824338911371608064","1","0","2","http://www.torontogamedevs.com/blog/mental-health-games-bellletstalk …  Mental Health Games - #BellLetsTalk","2017-01-25T19:31:26","TorontoGameDevs"
"CHOCOLATE PAPI","824341238740422656","0","0","0","Talk early talk often #bellletstalk #putpower @ Toronto, Ontario https://www.instagram.com/p/BPsw2zeh9JA/ ","2017-01-25T19:40:41","swagteamafrica"
"Jessica Pershick","824341568316383232","0","0","0","Loving today  #BellLetsTalk  @ Toronto, Ontario https://www.instagram.com/p/BPsxAR0lete/ ","2017-01-25T19:42:00","politeMIND"
